"Species","Type"
"VIBUEDU","4"
"RHODNEO","3"
"CARECOC","6"
"VICIAME","7"
"POPUTRE","2"
"ORYZASP","6"
"THALOCC","7"
"BERBAQU","3"
"ASTER","7"
"CARECAP","6"
"MAIASTE","7"
"BRYUCAE","9"
"PETAFRI4","7"
"VALEDIO","7"
"RHIZPSE","9"
"CAMPSTE","9"
"PICEENE","1"
"GALIBOR","7"
"EQUIARV","5"
"OSMOPUR","7"
"SENETRI","7"
"LONIUTA","4"
"HYPNLIN","9"
"SALIPLA","4"
"SYMPALB","4"
"PLATDIL","7"
"HERAMAX","7"
"SALISIT","2"
"BOTRVIG","5"
"PLAGELL","9"
"LATHOCH","7"
"LONIINV","4"
"RUBUIDA","4"
"ERIGERO","7"
"CORNCAN","7"
"STREAMP","7"
"RUBUPUB","12"
"LINNBOR","12"
"TARAOFF","7"
"CAREDIS","6"
"PACKPSE","7"
"MITENUD","7"
"NEOTBOR","7"
"PINUCON2","1"
"DREPANO","9"
"CORNSTO","4"
"CORATRI","8"
"GEUMMAC","7"
"PYROASA","7"
"ROSAACI","4"
"VIOLREN","7"
"GALITRF","7"
"SHEPCAN","4"
"PROSTRA","7"
"ELYMGLA","6"
"PEDIBRA","7"
"ANGEDAW","7"
"ABIELAS","1"
"PLATOBT","7"
"FRAGVIR","7"
"RIBELAC","4"
"MAIARAC","7"
"VIOLORB","7"
"VIOLADU","7"
"TRILOVA","7"
"CHAMANG","7"
"TRISSPI","6"
"CAREROS","6"
"GOODOBL","7"
"VACCCAE","12"
"EURYCON","7"
"CLADMAC","11"
"POLYJUN","9"
"SALIBEB","2"
"BRACHYL","9"
"OSMOBER","7"
"BRACSAL","9"
"CHIMUMB","12"
"AMELALN","4"
"CALARUB","6"
"RANUUNC","7"
"EURHPUL","9"
"VACCMYT","12"
"CIRSARV","7"
"MELIBUL","6"
"SPIRLUC","4"
"ARNICOR","7"
"ROELROE","9"
"FESTOCC","6"
"ARCTUVA","12"
"ACERGLA","4"
"ERYTGRA","7"
"ACHIMIL","7"
"PAXIMYR","3"
"GERAVIS","7"
"PSEURAD","9"
"RUBUPAR","4"
"ARNILAT","7"
"ALLICER","7"
"CALOAPI","7"
"PSEUMEN","1"
"CLEMOCC","4"
"ANTERAC","7"
"LUPISER","7"
"PSEUSPI","6"
"JUNICOM","3"
"CAMPROT","7"
"PENSTEM","7"
"RIBEVIS","4"
"HEUCCYL","7"
"PENSPRO","7"
"ARABHOL","7"
"SALIX","0"
"SAXIBRO1","7"
"CYSTFRA","5"
"SAXIFRA","7"
"ASTRAGA","7"
"LOMADIS","7"
"ARNISOR","7"
"FESTIDA","6"
"JUNCUS","6"
"DELPNUT","7"
"ROSAWOO","4"
"GEUMTRI","7"
"PRIMPAU1","7"
"CERAARV","7"
"DRYMGLA","7"
"MICRGRA","7"
"DANTCAL","6"
"TOXIVEN","7"
"WOODORE","5"
"SELAGIN","5"
"SEDUSTE","7"
"CASTMIN","7"
"ERIOUMB2","7"
"PENSCON","7"
"LOMATRI","7"
"VACCINI","0"
"BRYUPSE","9"
"ANTELUZ","7"
"RHYTROB","9"
"COLLPAR","7"
"HIERALI","7"
"CAREGEY","6"
"BROMVUL","6"
"CASTHIS","7"
"PLEUSCH","9"
"AULAPAL","9"
"PELTAPH","11"
"MENZFER","4"
"CLINUNI","7"
"VERAVIR","7"
"GYMNDRY","5"
"LYCOANN","5"
"PTILCRI","9"
"CALACAN","6"
"NEOTCOR","7"
"ALNUVIR2","4"
"ATHYFIL","5"
"ORTHSEC","7"
"MONEUNI","7"
"HYLOSPL","9"
"PYROCHL","7"
"PICEENG","1"
"ANTIOCC","7"
"TIMMAUS","9"
"SYMPCII","7"
"FRAGVES","7"
"LARIOCC","1"
"VIOLCAN","7"
"BRACVEL","9"
"VACCSCO","12"
"DICRFUS","9"
"PELTMAL","11"
"CLADECM","11"
"POHLNUT","9"
"PINUALB","1"
"XEROTEN","7"
"VACCMEM","4"
"SORBSCO","4"
